Name,Location,Description,record,expression,labels,alert,enabled,severity,for,actions,resolveConfiguration,annotations,translation
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    label_replace(      kube_pod_owner{job=""kube-state-metrics"", owner_kind=""ReplicaSet""},      ""replicaset"", ""$1"", ""owner_name"", ""(.*)""    ) * on(replicaset, namespace) group_left(owner_name) topk by(replicaset, namespace) (      1, max by (replicaset, namespace, owner_name) (        kube_replicaset_owner{job=""kube-state-metrics""}      )    ),    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'deployment'},,,,,,,,"This Prometheus rule calculates the maximum number of pods in a ReplicaSet for each workload, across all clusters and namespaces. It does this by:

- Finding the owner (ReplicaSet) of each pod
- Identifying the top ReplicaSet with the most pods in each namespace
- Then, finding the workload that owns these top ReplicaSets

In simpler terms, it's trying to identify which workloads have the most pods running in their ReplicaSets across the cluster."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    kube_pod_owner{job=""kube-state-metrics"", owner_kind=""DaemonSet""},    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'daemonset'},,,,,,,,"Get the maximum number of pods owned by a DaemonSet in each cluster, namespace, and workload, where the workload name is extracted from the DaemonSet's name."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    kube_pod_owner{job=""kube-state-metrics"", owner_kind=""StatefulSet""},    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'statefulset'},,,,,,,,"Get the maximum number of pods owned by a StatefulSet in each cluster, namespace, and workload, where the workload name is extracted from the StatefulSet's owner name."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    kube_pod_owner{job=""kube-state-metrics"", owner_kind=""Job""},    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'job'},,,,,,,,"Get the maximum number of pods owned by a Job in each cluster, namespace, and workload, where the workload name is extracted from the Job's owner name."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,:node_memory_MemAvailable_bytes:sum,"sum(  node_memory_MemAvailable_bytes{job=""node""} or  (    node_memory_Buffers_bytes{job=""node""} +    node_memory_Cached_bytes{job=""node""} +    node_memory_MemFree_bytes{job=""node""} +    node_memory_Slab_bytes{job=""node""}  )) by (cluster)",,,,,,,,,"The total amount of available memory across all nodes in each cluster, calculated as either the directly reported available memory or the sum of buffers, cached, free, and slab memory."
KubernetesRecordingRulesRuleGroup-eastus-stage-arc,eastus,,cluster:node_cpu:ratio_rate5m,"sum(rate(node_cpu_seconds_total{job=""node"",mode!=""idle"",mode!=""iowait"",mode!=""steal""}[5m])) by (cluster) /count(sum(node_cpu_seconds_total{job=""node""}) by (cluster, instance, cpu)) by (cluster)",,,,,,,,,"Calculate the average CPU usage ratio for each cluster over the last 5 minutes, excluding idle, iowait, and steal modes, by summing up the total CPU time spent in other modes and dividing it by the total number of CPU cores across all instances in the cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,node_namespace_pod_container:container_cpu_usage_seconds_total:sum_irate,"sum by (cluster, namespace, pod, container) (  irate(container_cpu_usage_seconds_total{job=""cadvisor"", image!=""""}[5m])) * on (cluster, namespace, pod) group_left(node) topk by (cluster, namespace, pod) (  1, max by(cluster, namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"Show the top CPU usage for containers in each pod across all clusters and namespaces over the last 5 minutes, considering only pods with a non-empty image name, and prioritize results based on the maximum number of pods per node."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,node_namespace_pod_container:container_memory_working_set_bytes,"container_memory_working_set_bytes{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container memory usage for each namespace and pod, considering only containers with a non-empty image name, grouped by namespace and pod, and limited to the maximum value for each pod across all nodes."""
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,node_namespace_pod_container:container_memory_rss,"container_memory_rss{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container with the highest memory usage (RSS) for each pod in a namespace, considering only containers from pods running on a specific node and ignoring containers without an image, limited to 1 result per pod."""
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,node_namespace_pod_container:container_memory_cache,"container_memory_cache{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container using the most memory cache for each namespace and pod, considering only containers with a non-empty image name, and filter the results to only include pods that are running on a node with available information."""
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,node_namespace_pod_container:container_memory_swap,"container_memory_swap{job=""cadvisor"", image!=""""}* on (namespace, pod) group_left(node) topk by(namespace, pod) (1,  max by(namespace, pod, node) (kube_pod_info{node!=""""}))",,,,,,,,,"""Show the top container using swap memory for each namespace and pod, considering only containers with a non-empty image name, and filter the results to only include pods that are running on a node with available information."""
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests,"kube_pod_container_resource_requests{resource=""memory"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) (  (kube_pod_status_phase{phase=~""Pending|Running""} == 1))",,,,,,,,,"Show the maximum memory requested by containers in pods that are either pending or running, grouped by namespace, pod, and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_memory:kube_pod_container_resource_requests:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_requests{resource=""memory"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"Calculate the total requested memory for all containers in each namespace and cluster, but only consider containers that are part of pods which are either pending or running. The result is the sum of the maximum requested memory for each pod in each namespace and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,cluster:namespace:pod_cpu:active:kube_pod_container_resource_requests,"kube_pod_container_resource_requests{resource=""cpu"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) (  (kube_pod_status_phase{phase=~""Pending|Running""} == 1))",,,,,,,,,"""Show the maximum CPU requests for running or pending pods in each namespace and cluster, based on the resource requests of their containers."""
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_cpu:kube_pod_container_resource_requests:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_requests{resource=""cpu"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"Calculate the total requested CPU resources for all containers in each namespace and cluster, but only consider containers that are either pending or running. The result is the sum of the maximum requested CPU resources for each pod in each namespace and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits,"kube_pod_container_resource_limits{resource=""memory"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) (  (kube_pod_status_phase{phase=~""Pending|Running""} == 1))",,,,,,,,,"Show the maximum memory limits for containers in pods that are either pending or running, grouped by namespace, pod, and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_memory:kube_pod_container_resource_limits:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_limits{resource=""memory"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"The total memory limits of all running or pending containers in each namespace across clusters, calculated by summing up the maximum memory limits of containers within each pod and then aggregating those totals by namespace and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,cluster:namespace:pod_cpu:active:kube_pod_container_resource_limits,"kube_pod_container_resource_limits{resource=""cpu"",job=""kube-state-metrics""}  * on (namespace, pod, cluster)group_left() max by (namespace, pod, cluster) ( (kube_pod_status_phase{phase=~""Pending|Running""} == 1) )",,,,,,,,,"Show the maximum CPU limit for containers in pods that are either pending or running, grouped by namespace, pod, and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_cpu:kube_pod_container_resource_limits:sum,"sum by (namespace, cluster) (    sum by (namespace, pod, cluster) (        max by (namespace, pod, container, cluster) (          kube_pod_container_resource_limits{resource=""cpu"",job=""kube-state-metrics""}        ) * on(namespace, pod, cluster) group_left() max by (namespace, pod, cluster) (          kube_pod_status_phase{phase=~""Pending|Running""} == 1        )    ))",,,,,,,,,"This rule calculates the total CPU limits for all running or pending pods in each namespace across different clusters. It does this by first finding the maximum CPU limit for each container within a pod, then summing these limits for all containers in a pod, and finally summing these pod-level totals by namespace and cluster. The result is the total CPU limits for all running or pending pods in each namespace, aggregated by both namespace and cluster."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    label_replace(      kube_pod_owner{job=""kube-state-metrics"", owner_kind=""ReplicaSet""},      ""replicaset"", ""$1"", ""owner_name"", ""(.*)""    ) * on(replicaset, namespace) group_left(owner_name) topk by(replicaset, namespace) (      1, max by (replicaset, namespace, owner_name) (        kube_replicaset_owner{job=""kube-state-metrics""}      )    ),    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'deployment'},,,,,,,,"This Prometheus rule calculates the maximum number of pods in a ReplicaSet for each workload, across all clusters and namespaces. It does this by:

* Retrieving the owners of pods from the `kube_pod_owner` metric
* Replacing the owner name with the ReplicaSet name
* Joining this data with the `topk` function to get the top 1 ReplicaSet with the most pods for each namespace
* Then replacing the owner name with the workload name (e.g. Deployment, StatefulSet, etc.)
* Finally, it returns the maximum number of pods in a ReplicaSet for each workload, grouped by cluster, namespace, workload, and pod.

In simpler terms: ""What is the maximum number of pods running for each type of workload (like Deployments or StatefulSets) across all clusters and namespaces?"""
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    kube_pod_owner{job=""kube-state-metrics"", owner_kind=""DaemonSet""},    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'daemonset'},,,,,,,,"Get the maximum number of pods owned by a DaemonSet in each cluster, namespace, and workload, where the workload name is extracted from the DaemonSet's name."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    kube_pod_owner{job=""kube-state-metrics"", owner_kind=""StatefulSet""},    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'statefulset'},,,,,,,,"Get the maximum number of pods in a StatefulSet, grouped by cluster, namespace, workload, and pod, where the workload name is extracted from the owner name of the StatefulSet."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,namespace_workload_pod:kube_pod_owner:relabel,"max by (cluster, namespace, workload, pod) (  label_replace(    kube_pod_owner{job=""kube-state-metrics"", owner_kind=""Job""},    ""workload"", ""$1"", ""owner_name"", ""(.*)""  ))",{'workload_type': 'job'},,,,,,,,"Get the maximum number of pods for each combination of cluster, namespace, workload, and pod, where the workload is determined by replacing the ""owner_name"" label with a new ""workload"" label in the kube_pod_owner metric, but only consider metrics from the ""kube-state-metrics"" job and where the owner kind is a Job."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,:node_memory_MemAvailable_bytes:sum,"sum(  node_memory_MemAvailable_bytes{job=""node""} or  (    node_memory_Buffers_bytes{job=""node""} +    node_memory_Cached_bytes{job=""node""} +    node_memory_MemFree_bytes{job=""node""} +    node_memory_Slab_bytes{job=""node""}  )) by (cluster)",,,,,,,,,"The total amount of available memory across all nodes in each cluster, calculated as either the directly reported available memory or the sum of buffers, cached, free, and slab memory."
KubernetesReccordingRulesRuleGroup-eastus-stage-arc,eastus,Kubernetes Recording Rules RuleGroup - 0.1,cluster:node_cpu:ratio_rate5m,"sum(rate(node_cpu_seconds_total{job=""node"",mode!=""idle"",mode!=""iowait"",mode!=""steal""}[5m])) by (cluster) /count(sum(node_cpu_seconds_total{job=""node""}) by (cluster, instance, cpu)) by (cluster)",,,,,,,,,"Calculate the average CPU usage ratio for each cluster over the last 5 minutes, excluding idle, iowait, and steal modes, by summing up the total CPU time spent in other modes and dividing it by the total number of CPU cores across all instances in the cluster."
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_num_cpu:sum,"count without (cpu, mode) (  node_cpu_seconds_total{job=""node"",mode=""idle""})",,,,,,,,,"Count the total number of nodes that are reporting CPU idle time, ignoring the differences in CPU core and mode."
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_cpu_utilisation:rate5m,"1 - avg without (cpu) (  sum without (mode) (rate(node_cpu_seconds_total{job=""node"", mode=~""idle|iowait|steal""}[5m])))",,,,,,,,,"The average CPU utilization across all CPUs for each instance over the last 5 minutes, calculated as the percentage of time spent not in idle, iowait, or steal modes."
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_load1_per_cpu:ratio,"(  node_load1{job=""node""}/  instance:node_num_cpu:sum{job=""node""})",,,,,,,,,"The average load on a single CPU for each instance, calculated by dividing the 1-minute load average by the total number of CPUs."
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_memory_utilisation:ratio,"1 - (  (    node_memory_MemAvailable_bytes{job=""node""}    or    (      node_memory_Buffers_bytes{job=""node""}      +      node_memory_Cached_bytes{job=""node""}      +      node_memory_MemFree_bytes{job=""node""}      +      node_memory_Slab_bytes{job=""node""}    )  )/  node_memory_MemTotal_bytes{job=""node""})",,,,,,,,,"This rule calculates the ratio of used memory to total memory for a node, taking into account available memory, buffers, cached memory, free memory, and slab memory. It subtracts the sum of these available memory components from the total memory and divides by the total memory, then subtracts this result from 1 to get the utilization ratio. In simpler terms, it shows what percentage of a node's memory is being used."
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_vmstat_pgmajfault:rate5m,"rate(node_vmstat_pgmajfault{job=""node""}[5m])",,,,,,,,,"""The rate of major page faults per second for a node, averaged over the last 5 minutes."""
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance_device:node_disk_io_time_seconds:rate5m,"rate(node_disk_io_time_seconds_total{job=""node"", device!=""""}[5m])",,,,,,,,,"""The average rate of disk I/O time per second for each node over the last 5 minutes, excluding devices with no name."""
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance_device:node_disk_io_time_weighted_seconds:rate5m,"rate(node_disk_io_time_weighted_seconds_total{job=""node"", device!=""""}[5m])",,,,,,,,,"""The average rate of disk I/O time per second for each node over the last 5 minutes, excluding devices with no name."""
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_network_receive_bytes_excluding_lo:rate5m,"sum without (device) (  rate(node_network_receive_bytes_total{job=""node"", device!=""lo""}[5m]))",,,,,,,,,"""The total amount of data received by each node on all non-loopback network devices, averaged over a 5-minute period."""
NodeRecordingRulesRuleGroup-aks-sde-eastus-stage,eastus,,instance:node_network_transmit_bytes_excluding_lo:rate5m,"sum without (device) (  rate(node_network_transmit_bytes_total{job=""node"", device!=""lo""}[5m]))",,,,,,,,,"The average rate of bytes transmitted by each network device (excluding the loopback interface) over the last 5 minutes, summed across all devices on a node."
